date_sent,week,channel,outlet,contact_name,contact_email_or_url,pitch_subject,status,reply_date,published_url,backlink_live,da_estimate,notes
,1,Niche Pet Press,Kinship,,editorial@kinship.com,"New data: 8 major US cities have only 1 emergency vet",pending,,,,80,Biggest pet audience (absorbed The Bark)
,1,Niche Pet Press,DVM360,,news@dvm360.com,"New data: 8 major US cities have only 1 emergency vet",pending,,,,70,Vet workforce angle
,1,Niche Pet Press,Pet Age,Glenn Polyn,gpolyn@petage.com,"New data: 8 major US cities have only 1 emergency vet",pending,,,,55,Named editor — personalize greeting
,1,Niche Pet Press,Today's Veterinary Business,Sarah Rumple Mahan,smahan@navc.com,"New data: 8 major US cities have only 1 emergency vet",pending,,,,60,Named editor — personalize greeting
,1,Niche Pet Press,Modern Dog,,info@moderndogmagazine.com,"New data: 8 major US cities have only 1 emergency vet",pending,,,,55,General email
,1,Niche Pet Press,Pet Life Radio,,info@petliferadio.com,"New data: 8 major US cities have only 1 emergency vet",pending,,,,50,Pitch podcast/interview angle
,1,Niche Pet Press (form),The Dodo,,https://www.thedodo.com/submit,"New data: 8 major US cities have only 1 emergency vet",pending,,,,90,Video/story tip form
,1,Niche Pet Press (form),Dogster,,https://www.dogster.com/contact-us-now,"New data: 8 major US cities have only 1 emergency vet",pending,,,,60,"Select ""Media or Press Inquiries"""
,1,Niche Pet Press (form),Catster,,https://www.catster.com/contact-us/,"New data: 8 major US cities have only 1 emergency vet",pending,,,,60,"Select ""Media or Press Inquiries"""
,1,Niche Pet Press (form),Whole Dog Journal,,https://www.whole-dog-journal.com/customer-service/contact-editor/,"New data: 8 major US cities have only 1 emergency vet",pending,,,,65,Contact form only
,1,Directory (free),Google Business Profile,,https://www.google.com/business/,—,pending,,,,95,List PetOS itself
,1,Directory (free),Bing Places for Business,,https://www.bingplaces.com/,—,pending,,,,90,List PetOS itself
,1,Directory (free),Apple Maps Business Connect,,https://mapsconnect.apple.com/,—,pending,,,,95,List PetOS itself
,1,Directory (free),Yelp for Business,,https://biz.yelp.com/,—,pending,,,,90,List PetOS itself
,1,Directory (free),Facebook Business Page,,https://business.facebook.com/,—,pending,,,,95,List PetOS itself
,2,Local TV,Cleveland.com,,,"Cleveland data story: only 1 emergency vet in the entire city",pending,,,,85,Use Hunter.io to find pet/lifestyle reporter
,2,Local TV,WKYC (NBC),,,"Cleveland data story: only 1 emergency vet in the entire city",pending,,,,75,Cleveland
,2,Local TV,Fox 8 Cleveland,,,"Cleveland data story: only 1 emergency vet in the entire city",pending,,,,75,Cleveland
,2,Local TV,Pioneer Press,,,"St. Paul data story: only 1 emergency vet in the entire city",pending,,,,75,St. Paul
,2,Local TV,Star Tribune,,,"St. Paul data story: only 1 emergency vet in the entire city",pending,,,,80,St. Paul
,2,Local TV,Savannah Morning News,,,"Savannah data story: only 1 emergency vet in the entire city",pending,,,,65,Savannah
,2,Local TV,WTOC (CBS),,,"Savannah data story: only 1 emergency vet in the entire city",pending,,,,60,Savannah
,2,Local TV,Tampa Bay Times,,,"Clearwater data story: only 1 emergency vet in the entire city",pending,,,,80,Clearwater
,2,Local TV,ABC Action News,,,"Clearwater data story: only 1 emergency vet in the entire city",pending,,,,70,Clearwater
,2,Local TV,Kansas City Star,,,"Overland Park data story: only 1 emergency vet in the entire city",pending,,,,80,Overland Park
,2,Directory (pet industry),PetSitter.com,,https://www.petsitter.com/,—,pending,,,,55,
,2,Directory (pet industry),DogFriendly.com,,https://www.dogfriendly.com/,—,pending,,,,50,
,2,Directory (pet industry),BringFido.com,,https://www.bringfido.com/,—,pending,,,,65,Check partner program
,2,Directory (pet industry),PetMD business directory,,https://www.petmd.com/,—,pending,,,,80,
,2,Directory (pet industry),ASPCA pet resources,,https://www.aspca.org/,—,pending,,,,90,Check partner section
,3,Chamber of Commerce,Tampa Chamber,,https://www.tampachamber.com/,—,pending,,,,60,~$50/yr paid
,3,Chamber of Commerce,NYC Chamber,,https://www.manhattancc.org/,—,pending,,,,65,Free basic listing
,3,Chamber of Commerce,LA Chamber,,https://www.lachamber.com/,—,pending,,,,60,Free basic listing
,3,Resource Page,,,,"Resource suggestion for [their list page]",pending,,,,,"Week 3 — find 30 via Google: ""best pet directories"""
,3,Resource Page,,,,"Resource suggestion for [their list page]",pending,,,,,
,3,Resource Page,,,,"Resource suggestion for [their list page]",pending,,,,,
,3,Resource Page,,,,"Resource suggestion for [their list page]",pending,,,,,
,3,Resource Page,,,,"Resource suggestion for [their list page]",pending,,,,,
,3,Resource Page,,,,"Resource suggestion for [their list page]",pending,,,,,
,3,Resource Page,,,,"Resource suggestion for [their list page]",pending,,,,,
,3,Resource Page,,,,"Resource suggestion for [their list page]",pending,,,,,
,3,Resource Page,,,,"Resource suggestion for [their list page]",pending,,,,,
,3,Resource Page,,,,"Resource suggestion for [their list page]",pending,,,,,
,3,Resource Page,,,,"Resource suggestion for [their list page]",pending,,,,,
