rank,score,email,name,title,outlet,tier,source_url,reasons
"1","8","editorial@kinship.com","","","Kinship","S","https://www.kinship.com/contact-us","tier S outlet (+5) | direct personal email (+3)"
"2","8","press@kinship.com","","","Kinship","S","https://www.kinship.com/contact-us","tier S outlet (+5) | direct personal email (+3)"
"3","8","kniedziela@navc.com","","","Today's Veterinary Business","S","https://todaysveterinarybusiness.com/our-team/","tier S outlet (+5) | direct personal email (+3)"
"4","8","smahan@navc.com","","","Today's Veterinary Business","S","https://todaysveterinarybusiness.com/our-team/","tier S outlet (+5) | direct personal email (+3)"
"5","8","aarchambault@navc.com","","","Today's Veterinary Business","S","https://todaysveterinarybusiness.com/our-team/","tier S outlet (+5) | direct personal email (+3)"
"6","8","azunz@navc.com","","","Today's Veterinary Business","S","https://todaysveterinarybusiness.com/our-team/","tier S outlet (+5) | direct personal email (+3)"
"7","8","celbert@navc.com","","","Today's Veterinary Business","S","https://todaysveterinarybusiness.com/our-team/","tier S outlet (+5) | direct personal email (+3)"
"8","8","dcarpenter@navc.com","","","Today's Veterinary Business","S","https://todaysveterinarybusiness.com/our-team/","tier S outlet (+5) | direct personal email (+3)"
"9","8","efleener@navc.com","","","Today's Veterinary Business","S","https://todaysveterinarybusiness.com/our-team/","tier S outlet (+5) | direct personal email (+3)"
"10","8","kbryson@navc.com","","","Today's Veterinary Business","S","https://todaysveterinarybusiness.com/our-team/","tier S outlet (+5) | direct personal email (+3)"
"11","8","kschultz@navc.com","","","Today's Veterinary Business","S","https://todaysveterinarybusiness.com/our-team/","tier S outlet (+5) | direct personal email (+3)"
"12","8","lwalker@navc.com","","","Today's Veterinary Business","S","https://todaysveterinarybusiness.com/our-team/","tier S outlet (+5) | direct personal email (+3)"
"13","8","mdelamarter@navc.com","","","Today's Veterinary Business","S","https://todaysveterinarybusiness.com/our-team/","tier S outlet (+5) | direct personal email (+3)"
"14","8","mdoster@navc.com","","","Today's Veterinary Business","S","https://todaysveterinarybusiness.com/our-team/","tier S outlet (+5) | direct personal email (+3)"
"15","8","pellington@navc.com","","","Today's Veterinary Business","S","https://todaysveterinarybusiness.com/our-team/","tier S outlet (+5) | direct personal email (+3)"
"16","8","sperez@navc.com","","","Today's Veterinary Business","S","https://todaysveterinarybusiness.com/our-team/","tier S outlet (+5) | direct personal email (+3)"
"17","6","info@moderncat.com","","","Modern Cat","A","https://moderncat.com/contact-us/","tier A outlet (+3) | direct personal email (+3)"
"18","6","info@moderndogmagazine.com","","","Modern Dog","A","https://moderndogmagazine.com/contact-us","tier A outlet (+3) | direct personal email (+3)"
"19","6","communications@akc.org","","","AKC News","A","https://www.akc.org/press-center/","tier A outlet (+3) | direct personal email (+3)"
"20","6","brandi.munden@akc.org","","","AKC News","A","https://www.akc.org/press-center/","tier A outlet (+3) | direct personal email (+3)"
"21","6","jessica.damato@akc.org","","","AKC News","A","https://www.akc.org/press-center/","tier A outlet (+3) | direct personal email (+3)"
"22","6","sarah.bank@akc.org","","","AKC News","A","https://www.akc.org/press-center/","tier A outlet (+3) | direct personal email (+3)"
"23","5","editors@sciam.com","","","Scientific American","B","https://www.scientificamerican.com/page/contact-us/","tier B outlet (+2) | direct personal email (+3)"
"24","5","randp@sciam.com","","","Scientific American","B","https://www.scientificamerican.com/page/contact-us/","tier B outlet (+2) | direct personal email (+3)"
